P0000521,0209664,0.0054
P0000521,0202647,0.0009
P0000521,0228394,0.00009
P0000521,0200321,0.000117
P0000521,0200371,0.0018
P0000521,0237384,0.0009
P0000521,0108063,0.00135
P0000521,0214820,0.0009
P0000521,1014690,0.00055
P0000521,1614528,0.02835
P0000521,P0000751,1.0204
P0000528,0225047,0.0162964115651551
P0000528,0209664,0.00112041330802029
P0000528,0202647,0.000186735551336715
P0000528,0228394,1.86735551336715E-05
P0000528,0200321,0.000024275621673773
P0000528,0200371,0.000373471102673431
P0000528,0237384,0.000186735551336715
P0000528,0108063,0.000280103327005073
P0000528,0214820,0.000186735551336715
P0000528,P0001263,0.000497961470231241
P0000528,1617532,0.0102082101397404
P0000554,7010538,0.0577022153529109
P0000554,P0000489,1.06291144312783
P0000554,1405988,1.06291144312783
P0000554,P0000474,1.06291144312783
P0000554,P0000477,0.0885568721735646
P0000555,7010538,0.00389298373103561
P0000555,P0001740,0.00129766124367854
P0000555,1611661,0.0100031143869848
P0000556,7010532,0.00373275182789394
P0000556,P0001739,0.00135969654211944
P0000556,1611661,0.0100016492276117
P0000557,7010532,0.0544186792049583
P0000557,P0001643,1.00502244069246
P0000557,1405988,1
P0000557,P0000477,0.0833511434067108
P0000557,P0000490,1.05001068604403
P0000563,P0000596,0.00602699537321567
P0000563,P0000470,0.00135672623120006
P0000563,1611661,0.0100015074735902
P0000564,P0000593,0.0678288672350792
P0000564,P0001646,1.0500043500957
P0000564,P0000446,0.0875021750478511
P0000565,P0000488,1.05001078981442
P0000565,P0000469,0.0875053949072076
P0000565,P0000593,0.168240181268882
P0000566,P0000593,0.337208044982699
P0000566,P0000473,1.00497404844291
P0000566,1036100,1.00497404844291
P0000566,P0000476,0.0833693771626298
P0000568,0108082,0.000430465476668771
P0000568,P0000458,0.000215232738334386
P0000568,0237366,2.15232738334386E-05
P0000568,P0000461,0.0206408196062676
P0000568,P0000550,0.000215232738334386
P0000568,P0000485,0.000516558572002525
P0000568,P0000955,0.00998679905871549
P0000593,0108035,0.001
P0000593,0100301,0.003
P0000593,P0000460,0.2
P0000593,0237364,0.08
P0000593,0237356,0.05
P0000593,0228985,0.02
P0000593,0226376,0.01
P0000593,0108015,0.009
P0000593,P0000457,0.004
P0000593,0227565,0.01
P0000593,P0000466,0.004
P0000593,P0001537,0.0000005
P0000593,P0001512,0.007
P0000593,0226404,0.003
P0000593,P0000550,0.02
P0000593,P0000562,0.000012
P0000593,0209458,0.004
P0000596,0108035,0.001
P0000596,0100301,0.003
P0000596,P0000460,0.2
P0000596,0237364,0.08
P0000596,0237356,0.05
P0000596,0228985,0.02
P0000596,0226376,0.01
P0000596,0108015,0.009
P0000596,P0000457,0.004
P0000596,0227565,0.01
P0000596,P0000466,0.004
P0000596,P0001537,0.0000005
P0000596,P0001512,0.007
P0000596,0226404,0.003
P0000596,P0000550,0.02
P0000596,P0000562,0.000012
P0000596,0209458,0.004
P0000615,1611508,0.065752620166245
P0000615,P0000517,0.0690165341525117
P0000615,P0000736,1.05195157209975
P0000616,P0001042,0.212017107200449
P0000616,P0000589,1.0628899950922
P0000616,P0000591,0.0664656804318867
P0000617,P0001109,0.212017107200449
P0000617,P0000590,1.0628899950922
P0000617,P0000591,0.0664656804318867
P0000619,P0000586,1.06292850146915
P0000619,P0000587,1.06292850146915
P0000619,P0000592,0.0664789422135162
P0000619,P0001109,0.370225269343781
P0000621,0217614,0.01
P0000621,0237400,0.02
P0000621,0219439,0.002
P0000621,0237396,0.03
P0000621,0237395,0.08
P0000621,0237403,0.07
P0000621,0237394,0.09
P0000621,0237397,0.05
P0000621,0237389,0.04
P0000621,0237405,0.04
P0000621,0237404,0.04
P0000621,0237402,0.001
P0000621,0237393,0.0005
P0000621,0237401,0.003
P0000621,0237386,0.04
P0000621,0228394,0.001
P0000621,0226373,0.01
P0000621,0237399,0.06
P0000621,0226368,0.002
P0000621,0237398,0.005
P0000621,0226356,0.03
P0000712,0108046,0.002
P0000712,0108044,0.001
P0000712,0108041,0.001
P0000712,0108006,0.001
P0000712,0108049,0.0005
P0000712,0213014,0.005
P0000712,0108019,0.003
P0000712,0108058,0.001
P0000712,0108010,0.085
P0000712,0108057,0.03
P0000712,0108117,0.04
P0000712,0108042,0.018
P0000712,0108020,0.03
P0000712,0108038,0.005
P0000712,0108029,0.001
P0000712,0108032,0.02
P0000712,0108033,0.02
P0000712,0226402,0.0035
P0000712,0108040,0.0025
P0000712,0108008,0.001
P0000712,0108015,0.002
P0000712,0108077,0.005
P0000712,0226404,0.002
P0000712,0226410,0.005
P0000713,0226402,0.005
P0000713,0226405,0.003
P0000713,0108077,0.05
P0000713,0108037,0.025
P0000713,0226406,0.01
P0000713,0226408,0.005
P0000713,0240703,0.055
P0000713,0108022,0.06
P0000713,0226407,0.06
P0000713,0108009,0.05
P0000713,0226409,0.005
P0000713,0226401,0.003
P0000713,0226400,0.003
P0000713,0226404,0.0007
P0000713,0108051,0.005
P0000714,0108027,0.075
P0000714,0108007,0.0015
P0000714,0240704,0.09
P0000714,0108047,0.01
P0000714,0108035,0.003
P0000714,0108014,0.001
P0000714,0108015,0.002
P0000714,0108116,0.06
P0000714,0108017,0.05
P0000714,0108056,0.05
P0000714,0108063,0.003
P0000714,0226410,0.005
P0000998,0237388,0.08
P0000998,0226362,0.06
P0000998,0226359,0.09
P0000998,0226358,0.03
P0000998,0108057,0.03
P0000998,P0000443,0.02
P0000998,0108141,0.02
P0000998,0108042,0.01
P0000998,0108058,0.002
P0000998,0226364,0.004
P0000998,0108008,0.0018
P0000998,0237387,0.005
P0000998,0226367,0.02
P0000998,P0000601,0.035
P0000998,P0000598,0.001
P0000998,0108015,0.001
P0000998,P0000550,0.02
P0000998,0108029,0.002
P0000998,P0000181,0.003
P0000998,0108092,0.04
P0000998,0226404,0.00017
P0000998,P0000704,0.0001
P0000998,0226404,0.000175
P0000998,0108032,0.03
P0000998,P0000600,0.05
P0000998,0237386,0.08
P0000999,0237388,0.08
P0000999,0226362,0.06
P0000999,0226359,0.09
P0000999,0226358,0.03
P0000999,0108057,0.03
P0000999,P0000443,0.02
P0000999,0108141,0.02
P0000999,0108042,0.01
P0000999,0108058,0.002
P0000999,0226364,0.004
P0000999,0108008,0.0018
P0000999,0237387,0.005
P0000999,0226367,0.02
P0000999,0100301,0.006
P0000999,P0000598,0.001
P0000999,0108015,0.001
P0000999,P0000550,0.02
P0000999,0108029,0.002
P0000999,P0000181,0.003
P0000999,0108092,0.04
P0000999,0226404,0.00017
P0000999,P0000704,0.0001
P0000999,0226404,0.000315
P0000999,0108032,0.03
P0000999,P0000600,0.05
P0000999,0237386,0.08
P0001000,0237388,0.08
P0001000,0226362,0.06
P0001000,0226359,0.09
P0001000,0226358,0.04
P0001000,0108057,0.04
P0001000,P0000443,0.02
P0001000,0108141,0.02
P0001000,0108042,0.01
P0001000,0108058,0.002
P0001000,0226364,0.004
P0001000,0108008,0.0018
P0001000,0237387,0.005
P0001000,0226367,0.02
