9195925,16298754,0.154857837920024
9195925,16298755,1.05199939181998
9195925,16298751,1.05199939181998
9195925,16298691,1.11509806902843
9195925,16298756,1.11509806902843
9195925,16298757,1.11509806902843
9195925,16298736,0.0656834422989205
9197755,16298704,0.0775375582800898
9197755,16298758,0.00134691763080642
9197755,16298705,0.00538767052322569
9197755,16298592,0.00175099292004835
9197755,16298593,0.000897945087204282
9197755,16298596,0.000897945087204282
9197755,16298706,0.00179589017440856
9197755,16298599,0.000179589017440857
9197755,16298710,0.000518045242617855
9197755,16298759,1.02037644620964
9197755,16298712,0.0283198065964428
9197779,16298704,0.0740512083300956
9197779,16298705,0.00363664620405626
9197779,16298706,0.00181832310202813
9197779,16298760,0.000909161551014065
9197779,16298610,0.000454580775507032
9197779,16298761,0.000909161551014065
9197779,16298568,0.000454580775507032
9197779,16298762,0.00181832310202813
9197779,16298763,0.000909161551014065
9197779,16298764,0.000909161551014065
9197779,16298588,0.000454580775507032
9197779,16298765,0.000909161551014065
9197779,16298766,0.00181832310202813
9197779,16298565,0.000909161551014065
9197779,16298767,4.54580775507032E-05
9197779,16298768,0.000454580775507032
9197779,16298769,0.000454580775507032
9197779,16298710,0.000543942808299013
9197779,16298770,1.02035900225348
9197779,16298712,0.02836273214702
9197783,16298771,0.157103192966219
9197783,16298755,1.06830643897854
9197783,16298690,1.05182785747339
9197783,16298772,1.115070183557
9197783,16298773,1.115070183557
9197783,16298691,1.115070183557
9197783,16298692,0.0657103192966219
9197879,16298774,0.250283058220607
9197879,16298775,1
9197879,16298776,1.06000834276861
9197879,16298777,1.06000834276861
9197879,16298778,1
9197879,16298691,1.02002264465765
9197879,16298697,0.0625111733508134
9197880,16298774,0.063
9197880,16298779,1.04533333333333
9197880,16298780,1.09093333333333
9197880,16298781,1.09093333333333
9197880,16298782,1.04533333333333
9197880,16298783,1
9197882,16298784,0.155607048278672
9197882,16298755,1.05199633326543
9197882,16298690,1.05199633326543
9197882,16298785,1.11509472397637
9197882,16298786,1.11509472397637
9197882,16298691,1.11509472397637
9197882,16298692,0.0657465878997759
9197883,16298784,0.0673165895571712
9197883,16298787,1.05194976867151
9197883,16298685,0.0657633840052875
9197885,16298778,1
9197885,16298775,1
9197885,16298788,1.06000834276861
9197885,16298789,1.06000834276861
9197885,16298697,0.0625111733508134
9197885,16298691,1.02002264465765
9197885,16298790,0.250283058220607
9199201,16298791,1.05002987669075
9199201,16298792,1.00499755554348
9199201,16298703,0.0625237655494595
9199201,16298793,0.0553261991417242
9199202,16298794,1.05557716889902
9199202,16298795,1.00500194520091
9199202,16298703,0.0625243150113933
9199202,16298796,0.0566053465236481
9199204,16298797,1.04999164019395
9199204,16298798,1.00496015159115
9199204,16298703,0.0624756172323469
9199204,16298799,0.0567630830964722
9199206,16298800,0.0551643828196934
9199206,16298801,1.04999187564318
9199206,16298802,1.00498293885067
9199206,16298803,0.0833559009911715
9199206,16298804,1
9199207,16298805,0.0551643828196934
9199207,16298803,0.0833559009911715
9199207,16298806,1.04999187564318
9199207,16298807,0.100471212695662
9199207,16298804,1
9990421,16298700,0.00579213809192721
9990421,16298808,0.00137908049807791
9990421,16298809,0.0106304121726839
9990425,16298810,0.0013810009761292
9990425,16298809,0.010626497470938
9990425,16298698,0.00559055816842666
9990426,16298704,0.0156138289934375
9990426,16298705,0.00119386993705397
9990426,16298706,0.000198978322842329
9990426,16298625,1.98978322842329E-05
9990426,16298707,2.58671819695027E-05
9990426,16298624,0.000397956645684658
9990426,16298708,0.00198978322842329
9990426,16298709,0.000258671819695027
9990426,16298593,0.000198978322842329
9990426,16298811,0.000516578338148354
9990426,16298703,0.0101976390456694
9991112,16298731,0.0115875580231182
9991112,16298812,0.00136524984072085
9991112,16298809,0.0105238008555566
9991114,16298813,0.00137700194898737
9991114,16298809,0.0106240996525718
