16700088;16700776;1.11509708233828
16700088;16700777;1.11509708233828
16700088;16700720;1.11509708233828
16700088;16700778;0.0657252621742291
16700089;16700316;0.106060606060606
16700089;16700779;1.03030303030303
16700089;16700780;1.01010101010101
16700089;16700726;0.0626262626262626
16700089;16700316;0.104694640631491
16700089;16700779;1.14250103863731
16700089;16700780;1.06294142085584
16700089;16700726;0.0714582467802243
16700090;16700721;0.0833681396708713
16700090;16700781;1.00998245760588
16700090;16700782;1.00998245760588
16700090;16700783;0.219279926489015
16700091;16700783;0.066611685592844
16700091;16700784;1.02998583180021
16700091;16700785;0.083338619975047
16700092;16700735;0.0873574879227053
16700092;16700786;0.000453569511540526
16700092;16700653;0.000907139023081052
16700092;16700598;9.07139023081052E-05
16700092;16700599;9.07139023081052E-05
16700092;16700787;0.00136070853462158
16700092;16700788;0.0010198604401503
16700092;16700789;1.02039720880301
16700092;16700790;1.02039720880301
16700092;16700791;0.085024154589372
16700092;16700735;0.086036688517657
16700092;16700786;0.000446711778388666
16700092;16700653;0.000893423556777331
16700092;16700598;8.93423556777331E-05
16700092;16700599;8.93423556777331E-05
16700092;16700787;0.001340135335166
16700092;16700788;0.000898710086699091
16700092;16700789;1.01004440685134
16700092;16700790;1
16700092;16700791;0.084161556354409
16700093;16700312;0.155532513701674
16700093;16700792;1.05051103540216
16700093;16700793;1.05051103540216
16700093;16700794;1.11361279810398
16700093;16700795;1.11361279810398
16700093;16700720;1.07154495630277
16700093;16700778;0.0656199081617538
16700093;16700312;0.158628387498702
16700093;16700792;1.05196760461011
16700093;16700793;1.05196760461011
16700093;16700794;1.11509708233828
16700093;16700795;1.11509708233828
16700093;16700720;1.11509708233828
16700093;16700778;0.0657252621742291
16700094;16700319;0.155532513701674
16700094;16700796;1.05051103540216
16700094;16700793;1.05051103540216
16700094;16700720;1.07154495630277
16700094;16700797;1.11361279810398
16700094;16700798;1.11361279810398
16700094;16700778;0.0656199081617538
16700094;16700319;0.154857837920024
16700094;16700796;1.05199939181998
16700094;16700793;1.05199939181998
16700094;16700720;1.11509806902843
16700094;16700797;1.11509806902843
16700094;16700798;1.11509806902843
16700094;16700778;0.0656834422989205
16700095;16700735;0.0708084524810765
16700095;16700799;0.0012300252312868
16700095;16700736;0.00492010092514718
16700095;16700610;0.00159903280067283
16700095;16700611;0.000820016820857864
16700095;16700614;0.000820016820857864
16700095;16700737;0.00164003364171573
16700095;16700617;0.000164003364171573
16700095;16700740;0.000444175777964676
16700095;16700800;1.01003994953743
16700095;16700742;0.0277544154751892
16700095;16700735;0.0775375582800898
16700095;16700799;0.00134691763080642
16700095;16700736;0.00538767052322569
16700095;16700610;0.00175099292004835
16700095;16700611;0.000897945087204282
16700095;16700614;0.000897945087204282
16700095;16700737;0.00179589017440856
16700095;16700617;0.000179589017440857
16700095;16700740;0.000518045242617855
16700095;16700800;1.02037644620964
16700095;16700742;0.0283198065964428
16700096;16700308;0.155614973262032
16700096;16700796;1.05210084033613
16700096;16700801;1.11520244461421
16700096;16700802;1.11520244461421
16700096;16700803;1.02047364400306
